mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	27				0				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	28				0				
5	5	12	12	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	29								
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	30								
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	31								
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	32								
6	6	15	15	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	33								
6	6	15	15	0.0	0	0	Spanner	6/8	2	1	0								0			
6	6	15	15	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	34					0			
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	35					0			
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	6/8	2	1	0									0		
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	36						0		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	37						0		
7	7	18	18	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	38				1				
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	39				1				
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	40				1				
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	41				1				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	42				1				
7	7	18	18	0.0	0	0	Spanner	6/8	2	1	0											
7	7	18	18	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	43								
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	44								
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	45								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	46								
8	8	21	21	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	47								
8	8	21	21	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	48				2				
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	49				2				
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	50				2				
8	8	23	23	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	51				2				
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	52								
8	8	21	21	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	53								
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	54								
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	55								
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	56								
9	9	24	24	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	57								
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	58								
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	59								
9	9	24	24	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	60								
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	61								
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	62								
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	63								
10	10	27	27	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	64								
10	10	28	28	0.0	1/4	1/4	Spanner	6/8	1	1	0								1			
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	65				3	1			
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	66				3	1			
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	67				3	1			
10	10	27	27	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	68								
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	69								
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	70								
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	71								
11	11	30	30	0.0	0	0	Spanner	6/8	1	1	0											
11	11	30	30	0.0	0	0	Spanner	6/8	1	1	0									1		
11	11	30	30	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	72						1		
11	11	30	30	0.0	0	0	Spanner	6/8	2	1	0								2			
11	11	30	30	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	73					2			
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	74					2			
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	2	1	0											
11	11	63/2	63/2	0.0	3/8	3/8	Spanner	6/8	2	1	0									2		
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	75						2		
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	76						2		
12	12	33	33	0.0	0	0	Spanner	6/8	1	1	0											
12	12	33	33	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	77				4				
12	12	69/2	69/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	78								
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0											
12	12	33	33	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	79								
12	12	34	34	0.0	1/4	1/4	StaffText	6/8	2	1	0						dimin.					
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	80								
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	81								
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	82								
13	13	36	36	0.0	0	0	Dynamic	6/8	1	1	0				pp							
13	13	36	36	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	83				5				
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	84				5				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	85				5				
13	13	36	36	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	86								
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	87								
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	88				6				
13	13	38	38	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	89								
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	90		articStaccatoBelow						
14	14	39	39	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	91								
14	14	39	39	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	92								
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	93				7				
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	94				7				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	95								
15	15	42	42	0.0	0	0	Spanner	6/8	1	1	0								3			
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	96				8	3			
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	97				8	3			
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	98				8	3			
15	15	44	44	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	99				8	3			
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	100				8	3			
15	15	42	42	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	101								
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	102								
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	103								
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	104								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	105								
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	106								
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	107								
16	16	45	45	0.0	0	0	Spanner	6/8	1	1	0											
16	16	45	45	0.0	0	0	Spanner	6/8	1	1	0									3		
16	16	45	45	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	108						3		
16	16	45	45	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	109				9				
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	110				9				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	111				9				
16	16	47	47	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	112				9				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	113								
16	16	45	45	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	114								
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	115								
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	116								
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	117								
17	17	48	48	0.0	0	0	Dynamic	6/8	1	1	0				p							
17	17	48	48	0.0	0	0	Spanner	6/8	1	1	0											
17	17	48	48	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	118				10				
17	17	99/2	99/2	0.0	3/8	3/8	Spanner	6/8	1	1	0							10	4			
17	17	99/2	99/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16	1/16	1	119				10	4			
17	17	199/4	199/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16	1/16	1	120				10	4			
17	17	50	50	0.0	1/2	1/2	Spanner	6/8	1	1	0							10				
17	17	50	50	1.0	1/2	1/2	Chord	6/8	1	1	1/4	1/4	1	121				10				
17	17	48	48	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	122								
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	123								
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	124								
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	125								
18	18	51	51	0.0	0	0	Spanner	6/8	1	1	0							10		4		
18	18	51	51	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	126				10		4		
18	18	105/2	105/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	127								
18	18	51	51	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	128								
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	129								
18	18	105/2	105/2	0.0	3/8	3/8	Spanner	6/8	2	1	0								5			
18	18	105/2	105/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16	1/16	1	130				11	5			
18	18	211/4	211/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16	1/16	1	131				11	5			
18	18	53	53	0.0	1/2	1/2	Spanner	6/8	2	1	0											
18	18	53	53	1.0	1/2	1/2	Chord	6/8	2	1	1/4	1/4	1	132								
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	133								
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	134								
19	19	54	54	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	135				12				
19	19	111/2	111/2	0.0	3/8	3/8	Spanner	6/8	1	1	0							12	6			
19	19	111/2	111/2	0.16666666666666666	3/8	3/8	Chord	6/8	1	1	1/24	1/16	2/3	136				12	6			
19	19	167/3	167/3	0.16666666666666666	5/12	5/12	Chord	6/8	1	1	1/24	1/16	2/3	137				12	6			
19	19	335/6	335/6	0.16666666666666666	11/24	11/24	Chord	6/8	1	1	1/24	1/16	2/3	138				12	6			
19	19	56	56	0.0	1/2	1/2	Spanner	6/8	1	1	0							12				
19	19	56	56	1.0	1/2	1/2	Chord	6/8	1	1	1/4	1/4	1	139				12				
19	19	54	54	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	140								
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	141								
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	142								
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	143								
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	144								
20	20	57	57	0.0	0	0	Spanner	6/8	1	1	0							12		5		
20	20	57	57	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	145				12		5		
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											
20	20	117/2	117/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	146								
20	20	57	57	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	147								
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	148								
20	20	117/2	117/2	0.0	3/8	3/8	Spanner	6/8	2	1	0								7			
20	20	117/2	117/2	0.16666666666666666	3/8	3/8	Chord	6/8	2	1	1/24	1/16	2/3	149				13	7			
20	20	176/3	176/3	0.16666666666666666	5/12	5/12	Chord	6/8	2	1	1/24	1/16	2/3	150				13	7			
20	20	353/6	353/6	0.16666666666666666	11/24	11/24	Chord	6/8	2	1	1/24	1/16	2/3	151				13	7			
20	20	59	59	0.0	1/2	1/2	Spanner	6/8	2	1	0											
20	20	59	59	1.0	1/2	1/2	Chord	6/8	2	1	1/4	1/4	1	152								
20	20	57	57	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	153								
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	154								
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	155								
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	156								
21	21	60	60	0.0	0	0	Spanner	6/8	1	1	0									6		
21	21	60	60	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	157				14		6		
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	1	1	0							14	8	6		
21	21	123/2	123/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16	1/16	1	158				14	8	6		
21	21	247/4	247/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16	1/16	1	159				14	8	6		
21	21	62	62	0.0	1/2	1/2	Spanner	6/8	1	1	0							14		6		
21	21	62	62	1.0	1/2	1/2	Chord	6/8	1	1	1/4	1/4	1	160				14		6		
21	21	60	60	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	161								
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	162								
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	163								
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	164								
22	22	63	63	0.0	0	0	Spanner	6/8	1	1	0							14				
22	22	63	63	0.0	0	0	Spanner	6/8	1	1	0							14		7		
22	22	63	63	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	165				14		7		
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	1	1	0							14				
22	22	129/2	129/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	166				14				
22	22	63	63	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	167								
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	168								
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	6/8	2	1	0								9			
22	22	129/2	129/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16	1/16	1	169				15	9			
22	22	259/4	259/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16	1/16	1	170				15	9			
22	22	65	65	0.0	1/2	1/2	Spanner	6/8	2	1	0											
22	22	65	65	1.0	1/2	1/2	Chord	6/8	2	1	1/4	1/4	1	171								
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	172								
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	173								
23	23	66	66	0.0	0	0	Dynamic	6/8	1	1	0				p							
23	23	66	66	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	174								
23	23	135/2	135/2	0.0	3/8	3/8	Spanner	6/8	1	1	0									8		
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	175				16		8		
23	23	68	68	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	176				16		8		
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	177						8		
23	23	66	66	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	178								
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	179								
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	180								
23	23	137/2	137/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	181								
24	24	69	69	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	182						8		
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	183						8		
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	184		articStaccatoBelow				8		
24	24	69	69	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	185								
24	24	70	70	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	186		articStaccatoBelow						
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	187				17				
24	24	71	71	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	188								
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	189		articStaccatoAbove						
24	24	141/2	141/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	190								
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	191								
25	25	72	72	0.0	0	0	Dynamic	6/8	1	1	0				pp							
25	25	72	72	0.0	0	0	Spanner	6/8	1	1	0											
25	25	72	72	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	192								
25	25	73	73	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	193		articStaccatoBelow						
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	194								
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	195		articStaccatoBelow						
25	25	72	72	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	196								
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	197								
25	25	72	72	1.5	0	0	Chord	6/8	2	2	3/8	1/4	3/2	198								
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8	1/8	1	199								
26	26	75	75	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	200								
26	26	76	76	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	201		articStaccatoBelow						
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	202								
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	203		articStaccatoBelow						
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	204		articStaccatoAbove						
27	27	78	78	0.0	0	0	Dynamic	6/8	1	1	0				pp							
27	27	78	78	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	205								
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	206								
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	207				18				
27	27	78	78	1.0	0	0	Chord	6/8	1	2	1/4	1/4	1	208								
27	27	79	79	0.5	1/4	1/4	Chord	6/8	1	2	1/8	1/8	1	209		articStaccatoBelow						
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4	1/4	1	210								
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8	1/8	1	211		articStaccatoBelow						
27	27	78	78	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	212								
27	27	79	79	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	213		articStaccatoAbove						
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	214								
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	215		articStaccatoAbove						
28	28	81	81	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	216				18				
28	28	82	82	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	217				18				
28	28	165/2	165/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	218				18				
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	219								
28	28	81	81	1.0	0	0	Chord	6/8	1	2	1/4	1/4	1	220								
28	28	82	82	0.5	1/4	1/4	Chord	6/8	1	2	1/8	1/8	1	221		articStaccatoBelow						
28	28	165/2	165/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4	1/4	1	222								
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8	1/8	1	223		articStaccatoBelow						
28	28	81	81	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	224								
28	28	82	82	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	225		articStaccatoAbove						
28	28	165/2	165/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	226								
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	227		articStaccatoAbove						
29	29	84	84	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	228				19				
29	29	84	84	1.0	0	0	Chord	6/8	1	2	1/4	1/4	1	229								
29	29	85	85	0.5	1/4	1/4	Chord	6/8	1	2	1/8	1/8	1	230		articStaccatoBelow						
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4	1/4	1	231								
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8	1/8	1	232		articStaccatoBelow						
29	29	84	84	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	233								
29	29	85	85	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	234		articStaccatoAbove						
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	235								
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	236		articStaccatoAbove						
30	30	87	87	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	237				19				
30	30	177/2	177/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	238								
30	30	87	87	1.0	0	0	Chord	6/8	1	2	1/4	1/4	1	239								
30	30	88	88	0.5	1/4	1/4	Chord	6/8	1	2	1/8	1/8	1	240		articStaccatoBelow						
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4	1/4	1	241								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8	1/8	1	242		articStaccatoBelow						
30	30	87	87	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	243								
30	30	88	88	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	244		articStaccatoAbove						
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	245								
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	246		articStaccatoAbove						
31	31	90	90	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	247				20				
