mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	254									
29	29	84	84	0.0	0	0	Spanner	6/8	2	1	0													
29	29	673/8	673/8	0.0	1/32	1/32	Spanner	6/8	2	1	0												5	
29	29	673/8	673/8	0.125	1/32	1/32	Chord	6/8	2	1	1/32		1/32	1	255				12				5	
29	29	337/4	337/4	0.125	1/16	1/16	Chord	6/8	2	1	1/32		1/32	1	256				12				5	
29	29	675/8	675/8	0.125	3/32	3/32	Chord	6/8	2	1	1/32		1/32	1	257				12				5	
29	29	169/2	169/2	0.125	1/8	1/8	Chord	6/8	2	1	1/32		1/32	1	258				12				5	
29	29	677/8	677/8	0.125	5/32	5/32	Chord	6/8	2	1	1/32		1/32	1	259				12				5	
29	29	339/4	339/4	0.125	3/16	3/16	Chord	6/8	2	1	1/32		1/32	1	260				12				5	
29	29	679/8	679/8	0.125	7/32	7/32	Chord	6/8	2	1	1/32		1/32	1	261				12				5	
29	29	85	85	0.125	1/4	1/4	Chord	6/8	2	1	1/32		1/32	1	262				12				5	
29	29	681/8	681/8	0.125	9/32	9/32	Chord	6/8	2	1	1/32		1/32	1	263								5	
29	29	341/4	341/4	0.0	5/16	5/16	Spanner	6/8	2	1	0													
30	30	87	87	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	264									
30	30	88	88	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	265									
30	30	353/4	353/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	266									
30	30	177/2	177/2	0.0	3/8	3/8	Spanner	6/8	1	1	0											5		
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	267							5		
30	30	179/2	179/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	268							5		
30	30	359/4	359/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	269							5		
30	30	697/8	697/8	0.125	1/32	1/32	Chord	6/8	2	1	1/32		1/32	1	270				13					
30	30	349/4	349/4	0.125	1/16	1/16	Chord	6/8	2	1	1/32		1/32	1	271				13					
30	30	699/8	699/8	0.125	3/32	3/32	Chord	6/8	2	1	1/32		1/32	1	272				13					
30	30	175/2	175/2	0.125	1/8	1/8	Chord	6/8	2	1	1/32		1/32	1	273				13					
30	30	701/8	701/8	0.125	5/32	5/32	Chord	6/8	2	1	1/32		1/32	1	274				13					
30	30	351/4	351/4	0.125	3/16	3/16	Chord	6/8	2	1	1/32		1/32	1	275				13					
30	30	703/8	703/8	0.0	7/32	7/32	StaffText	6/8	2	1	0							dimin.	13					
30	30	703/8	703/8	0.125	7/32	7/32	Chord	6/8	2	1	1/32		1/32	1	276				13					
30	30	88	88	0.125	1/4	1/4	Chord	6/8	2	1	1/32		1/32	1	277				13					
30	30	705/8	705/8	0.125	9/32	9/32	Chord	6/8	2	1	1/32		1/32	1	278									
31	31	90	90	0.0	0	0	Spanner	6/8	1	1	0													
31	31	90	90	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	279									
31	31	183/2	183/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	280									
31	31	185/2	185/2	0.08333333333333333	5/8	5/8	Chord	6/8	1	1	1/48		1/32	2/3	281				14					
31	31	1111/12	1111/12	0.08333333333333333	31/48	31/48	Chord	6/8	1	1	1/48		1/32	2/3	282				14					
31	31	278/3	278/3	0.08333333333333333	2/3	2/3	Chord	6/8	1	1	1/48		1/32	2/3	283				14					
31	31	371/4	371/4	0.08333333333333333	11/16	11/16	Chord	6/8	1	1	1/48		1/32	2/3	284				14					
31	31	557/6	557/6	0.08333333333333333	17/24	17/24	Chord	6/8	1	1	1/48		1/32	2/3	285				14					
31	31	1115/12	1115/12	0.08333333333333333	35/48	35/48	Chord	6/8	1	1	1/48		1/32	2/3	286									
31	31	721/8	721/8	0.125	1/32	1/32	Chord	6/8	2	1	1/32		1/32	1	287				15					
31	31	361/4	361/4	0.125	1/16	1/16	Chord	6/8	2	1	1/32		1/32	1	288				15					
31	31	723/8	723/8	0.125	3/32	3/32	Chord	6/8	2	1	1/32		1/32	1	289				15					
31	31	181/2	181/2	0.08333333333333333	1/8	1/8	Chord	6/8	2	1	1/48		1/32	2/3	290				15					
31	31	1087/12	1087/12	0.08333333333333333	7/48	7/48	Chord	6/8	2	1	1/48		1/32	2/3	291				15					
31	31	272/3	272/3	0.08333333333333333	1/6	1/6	Chord	6/8	2	1	1/48		1/32	2/3	292				15					
31	31	363/4	363/4	0.0	3/16	3/16	Spanner	6/8	2	1	0								15			6		
31	31	363/4	363/4	0.08333333333333333	3/16	3/16	Chord	6/8	2	1	1/48		1/32	2/3	293				15			6		
31	31	545/6	545/6	0.08333333333333333	5/24	5/24	Chord	6/8	2	1	1/48		1/32	2/3	294				15			6		
31	31	1091/12	1091/12	0.08333333333333333	11/48	11/48	Chord	6/8	2	1	1/48		1/32	2/3	295							6		
32	32	93	93	0.0	0	0	Dynamic	6/8	1	1	0					p								
32	32	93	93	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	296									
32	32	94	94	0.0	1/4	1/4	Spanner	6/8	1	1	0											7		
32	32	94	94	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	297							7		
32	32	377/4	377/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	298							7		
32	32	189/2	189/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	299							7		
32	32	191/2	191/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	300							7		
32	32	383/4	383/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	301							7		
32	32	93	93	0.0	0	0	Spanner	6/8	2	1	0													
32	32	187/2	187/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	302									
33	33	96	96	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	303							7		
33	33	193/2	193/2	0.0	1/8	1/8	StaffText	6/8	1	1	0							dimin.						
33	33	193/2	193/2	0.0	1/8	1/8	Spanner	6/8	1	1	0													
33	33	193/2	193/2	1.0	1/8	1/8	Chord	6/8	1	1	1/4		1/4	1	304		ornamentShortTrill							
33	33	195/2	195/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	305									
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	306									
33	33	97	97	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	307									
34	34	99	99	0.0	0	0	Dynamic	6/8	1	1	0					pp								
34	34	99	99	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	308									
34	34	100	100	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	309									
34	34	401/4	401/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	310									
34	34	201/2	201/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	311									
34	34	203/2	203/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	312									
34	34	407/4	407/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	313									
34	34	199/2	199/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	314									
35	35	102	102	0.0	0	0	Chord	6/8	1	1	0	appoggiatura	1/8	1	315									
35	35	102	102	0.0	0	0	Chord	6/8	1	1	0	appoggiatura	1/8	1	316									
35	35	102	102	0.0	0	0	Chord	6/8	1	1	0	appoggiatura	1/8	1	317									
35	35	102	102	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	318									
35	35	207/2	207/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	319									
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	320									
35	35	103	103	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	321									
36	36	105	105	0.0	0	0	Spanner	6/8	1	1	0												6	
36	36	105	105	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	322								6	
36	36	106	106	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	323								6	
36	36	425/4	425/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	324								6	
36	36	213/2	213/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	325								6	
36	36	215/2	215/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	326								6	
36	36	431/4	431/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	327								6	
36	36	211/2	211/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	328									
37	37	108	108	0.0	0	0	Dynamic	6/8	1	1	0					fz								
37	37	108	108	0.0	0	0	Spanner	6/8	1	1	0													
37	37	108	108	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	329		articAccentAbove							
37	37	219/2	219/2	0.125	3/8	3/8	Chord	6/8	1	1	1/32		1/32	1	330									
37	37	877/8	877/8	0.125	13/32	13/32	Chord	6/8	1	1	1/32		1/32	1	331				16					
37	37	439/4	439/4	0.125	7/16	7/16	Chord	6/8	1	1	1/32		1/32	1	332				16					
37	37	879/8	879/8	0.125	15/32	15/32	Chord	6/8	1	1	1/32		1/32	1	333				16					
37	37	110	110	0.125	1/2	1/2	Chord	6/8	1	1	1/32		1/32	1	334				16					
37	37	881/8	881/8	0.125	17/32	17/32	Chord	6/8	1	1	1/32		1/32	1	335				16					
37	37	441/4	441/4	0.125	9/16	9/16	Chord	6/8	1	1	1/32		1/32	1	336				16					
37	37	883/8	883/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	337				16					
37	37	221/2	221/2	0.125	5/8	5/8	Chord	6/8	1	1	1/32		1/32	1	338				16					
37	37	885/8	885/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32		1/32	1	339				16					
37	37	443/4	443/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	340				16					
37	37	887/8	887/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	341				16					
37	37	108	108	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	342									
37	37	109	109	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	343									
37	37	108	108	0.0	0	0	Spanner	6/8	2	1	0									2	2			
37	37	108	108	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	344					2	2			
38	38	111	111	0.125	0	0	Chord	6/8	1	1	1/32		1/32	1	345				16					
38	38	889/8	889/8	0.125	1/32	1/32	Chord	6/8	1	1	1/32		1/32	1	346				16					
38	38	445/4	445/4	0.125	1/16	1/16	Chord	6/8	1	1	1/32		1/32	1	347				16					
38	38	891/8	891/8	0.125	3/32	3/32	Chord	6/8	1	1	1/32		1/32	1	348				16					
38	38	223/2	223/2	0.125	1/8	1/8	Chord	6/8	1	1	1/32		1/32	1	349				16					
38	38	893/8	893/8	0.125	5/32	5/32	Chord	6/8	1	1	1/32		1/32	1	350				16					
38	38	447/4	447/4	0.125	3/16	3/16	Chord	6/8	1	1	1/32		1/32	1	351				16					
38	38	895/8	895/8	0.0	7/32	7/32	StaffText	6/8	1	1	0							dimin.	16					
38	38	895/8	895/8	0.125	7/32	7/32	Chord	6/8	1	1	1/32		1/32	1	352				16					
38	38	112	112	0.125	1/4	1/4	Chord	6/8	1	1	1/32		1/32	1	353				16					
38	38	897/8	897/8	0.125	9/32	9/32	Chord	6/8	1	1	1/32		1/32	1	354				16					
38	38	449/4	449/4	0.0	5/16	5/16	Spanner	6/8	1	1	0								16			8		
38	38	449/4	449/4	0.125	5/16	5/16	Chord	6/8	1	1	1/32		1/32	1	355				16			8		
38	38	899/8	899/8	0.125	11/32	11/32	Chord	6/8	1	1	1/32		1/32	1	356				16			8		
38	38	225/2	225/2	0.125	3/8	3/8	Chord	6/8	1	1	1/32		1/32	1	357				16			8		
38	38	901/8	901/8	0.125	13/32	13/32	Chord	6/8	1	1	1/32		1/32	1	358				16			8		
38	38	451/4	451/4	0.125	7/16	7/16	Chord	6/8	1	1	1/32		1/32	1	359				16			8		
38	38	903/8	903/8	0.125	15/32	15/32	Chord	6/8	1	1	1/32		1/32	1	360				16			8		
38	38	113	113	0.125	1/2	1/2	Chord	6/8	1	1	1/32		1/32	1	361				16			8		
38	38	905/8	905/8	0.125	17/32	17/32	Chord	6/8	1	1	1/32		1/32	1	362				16			8		
38	38	453/4	453/4	0.125	9/16	9/16	Chord	6/8	1	1	1/32		1/32	1	363				16			8		
38	38	907/8	907/8	0.125	19/32	19/32	Chord	6/8	1	1	1/32		1/32	1	364				16			8		
38	38	227/2	227/2	0.125	5/8	5/8	Chord	6/8	1	1	1/32		1/32	1	365				16			8		
38	38	909/8	909/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32		1/32	1	366				16			8		
38	38	455/4	455/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	367				16			8		
38	38	911/8	911/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	368							8		
39	39	114	114	0.0	0	0	Spanner	6/8	1	1	0													
39	39	114	114	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	369				17					
39	39	457/4	457/4	0.0	1/16	1/16	StaffText	6/8	1	1	0							dimin.	17					
39	39	457/4	457/4	0.5	1/16	1/16	Chord	6/8	1	1	1/8		1/8	1	370				17					
39	39	459/4	459/4	0.5	3/16	3/16	Chord	6/8	1	1	1/8		1/8	1	371				17					
39	39	461/4	461/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	372				17					
39	39	231/2	231/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	373				17					
39	39	463/4	463/4	0.5	7/16	7/16	Chord	6/8	1	1	1/8		1/8	1	374				17					
39	39	465/4	465/4	0.5	9/16	9/16	Chord	6/8	1	1	1/8		1/8	1	375				17					
39	39	467/4	467/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	376				17					
39	39	935/8	935/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	377									
40	40	117	117	0.0	0	0	Dynamic	6/8	1	1	0					ppp								
40	40	117	117	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	378				18					
40	40	237/2	237/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	379				18					
40	40	477/4	477/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	380				18					
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	381									
40	40	117	117	0.0	0	0	Spanner	6/8	2	1	0													
40	40	117	117	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	382									
40	40	118	118	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	383									
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	384									
40	40	119	119	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	385									
41	41	120	120	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	386									
41	41	243/2	243/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	387									
41	41	245/2	245/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24		1/16	2/3	388				19					
41	41	368/3	368/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24		1/16	2/3	389				19					
41	41	737/6	737/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24		1/16	2/3	390									
41	41	120	120	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	391									
41	41	121	121	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	392									
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	393									
41	41	122	122	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	394									
42	42	123	123	0.0	0	0	StaffText	6/8	1	1	0							cresc.						
42	42	123	123	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	395									
42	42	124	124	0.0	1/4	1/4	Spanner	6/8	1	1	0												7	
42	42	124	124	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	396								7	
42	42	249/2	249/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	397								7	
42	42	125	125	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	398								7	
42	42	503/4	503/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	399								7	
42	42	123	123	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	400									
42	42	124	124	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	401									
42	42	249/2	249/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	402									
42	42	125	125	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	403									
43	43	126	126	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	404								7	
43	43	255/2	255/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	405								7	
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	406								7	
43	43	126	126	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	407									
43	43	127	127	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	408									
43	43	255/2	255/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	409									
43	43	128	128	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	410									
44	44	129	129	0.0	0	0	Dynamic	6/8	1	1	0					f								
44	44	129	129	0.0	0	0	Spanner	6/8	1	1	0													
44	44	129	129	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	411									
44	44	261/2	261/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	412									
44	44	131	131	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	413									
44	44	527/4	527/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	414									
44	44	129	129	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	415									
44	44	130	130	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	416									
44	44	261/2	261/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	417									
44	44	131	131	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	418									
45	45	132	132	0.0	0	0	StaffText	6/8	1	1	0							cresc.						
45	45	132	132	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	419									
45	45	267/2	267/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	420									
45	45	269/2	269/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	421									
45	45	132	132	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	422									
45	45	133	133	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	423									
45	45	267/2	267/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	424									
45	45	134	134	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	425									
46	46	135	135	0.0	0	0	Dynamic	6/8	1	1	0					fz								
46	46	135	135	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	426									
46	46	136	136	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	427									
46	46	545/4	545/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	428									
46	46	273/2	273/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	429									
46	46	275/2	275/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	430									
46	46	551/4	551/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	431									
46	46	135	135	0.0	0	0	Dynamic	6/8	2	1	0					ff								
46	46	135	135	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	432									
46	46	136	136	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	433									
46	46	273/2	273/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	434									
46	46	137	137	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	435									
47	47	138	138	0.0	0	0	Spanner	6/8	1	1	0											9		
47	47	138	138	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	436							9		
47	47	279/2	279/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	437							9		
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	438							9		
47	47	138	138	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	439									
47	47	139	139	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	440									
47	47	279/2	279/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	441									
47	47	140	140	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	442		articTenutoAbove		20					
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	443		articTenutoAbove							
48	48	141	141	0.0	0	0	Dynamic	6/8	1	1	0					p								
48	48	141	141	0.0	0	0	Spanner	6/8	1	1	0													
48	48	141	141	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	444				21					
48	48	142	142	0.0	1/4	1/4	Spanner	6/8	1	1	0								21			10		
48	48	142	142	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	445				21			10		
48	48	569/4	569/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	446				21			10		
48	48	285/2	285/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	447				21			10		
48	48	287/2	287/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	448				21			10		
48	48	575/4	575/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	449							10		
48	48	141	141	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	450									
48	48	142	142	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	451									
48	48	285/2	285/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	452									
48	48	143	143	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	453									
49	49	144	144	0.0	0	0	Dynamic	6/8	1	1	0					pp								
49	49	144	144	0.0	0	0	Spanner	6/8	1	1	0													
49	49	144	144	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	454									
49	49	291/2	291/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	455									
49	49	293/2	293/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	456				22					
49	49	144	144	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	457									
49	49	145	145	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	458									
49	49	291/2	291/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	459									
49	49	146	146	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	460		articTenutoAbove		23					
49	49	293/2	293/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	461		articTenutoAbove							
50	50	147	147	0.0	0	0	Dynamic	6/8	1	1	0					f								
50	50	147	147	0.0	0	0	Spanner	6/8	1	1	0												8	
50	50	147	147	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	462								8	
50	50	147	147	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	463				24				8	
50	50	148	148	0.25	1/4	1/4	Chord	6/8	1	2	1/16		1/16	1	464				24				8	
50	50	593/4	593/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	465				24				8	
50	50	297/2	297/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	466				24				8	
50	50	299/2	299/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	467				24				8	
50	50	599/4	599/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	468								8	
50	50	147	147	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	469									
50	50	148	148	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	470									
50	50	297/2	297/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	471									
50	50	149	149	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	472									
51	51	150	150	0.0	0	0	Spanner	6/8	1	1	0													
51	51	150	150	0.0	0	0	Spanner	6/8	1	1	0											11		
51	51	150	150	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	473							11		
51	51	303/2	303/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	474							11		
51	51	305/2	305/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	475				25			11		
51	51	150	150	0.125	0	0	Chord	6/8	1	2	1/32		1/32	1	476							11		
51	51	1201/8	1201/8	0.125	1/32	1/32	Chord	6/8	1	2	1/32		1/32	1	477							11		
51	51	601/4	601/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16		1/16	1	478							11		
51	51	301/2	301/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	479							11		
51	51	303/2	303/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	480							11		
51	51	305/2	305/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	481							11		
51	51	150	150	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	482									
51	51	151	151	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	483									
51	51	303/2	303/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	484									
51	51	152	152	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	485									
52	52	153	153	0.0	0	0	Dynamic	6/8	1	1	0					pp								
52	52	153	153	0.0	0	0	Spanner	6/8	1	1	0													
52	52	153	153	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	486									
52	52	153	153	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	487				26					
52	52	154	154	0.25	1/4	1/4	Chord	6/8	1	2	1/16		1/16	1	488				26					
52	52	617/4	617/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	489				26					
52	52	309/2	309/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	490				26					
52	52	311/2	311/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	491				26					
52	52	623/4	623/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	492									
52	52	153	153	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	493									
52	52	154	154	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	494									
52	52	309/2	309/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	495									
52	52	155	155	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	496									
53	53	156	156	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	497									
53	53	315/2	315/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	498									
53	53	317/2	317/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	499									
53	53	156	156	0.125	0	0	Chord	6/8	1	2	1/32		1/32	1	500									
53	53	1249/8	1249/8	0.125	1/32	1/32	Chord	6/8	1	2	1/32		1/32	1	501									
53	53	625/4	625/4	0.25	1/16	1/16	Chord	6/8	1	2	1/16		1/16	1	502									
53	53	313/2	313/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	503									
